TIME(s);RPM(r/min);TPS(%);MAP(kPa);CLT(°C);IAT(°C);AOut(V);AccVoltage(V)
841,75;825;0;18;98;26;0,00;15,22;
841,80;825;0;19;103;26;0,00;15,22;
841,82;825;0;17;98;26;0,00;15,22;
841,84;825;0;17;98;26;0,00;15,22;
841,87;825;0;18;98;26;0,00;15,22;
841,90;825;0;19;98;26;0,00;15,22;
841,93;825;0;20;98;26;0,00;15,22;
841,96;825;0;18;98;26;0,00;15,22;
842,01;825;0;18;98;26;0,00;15,22;
842,03;825;0;18;98;26;0,00;15,22;
842,06;804;0;19;98;26;0,00;15,22;
842,09;804;0;20;98;26;0,00;15,22;
842,12;804;0;20;98;26;0,00;15,22;
842,15;804;0;18;98;26;0,00;15,22;
842,18;804;0;20;98;26;0,00;15,22;
842,23;804;0;19;98;26;0,00;15,22;
842,25;804;0;19;98;26;0,00;15,22;
842,27;804;0;19;98;26;0,00;15,22;
842,31;804;0;19;98;26;0,00;15,22;
842,34;817;0;18;98;26;0,00;15,22;
842,37;817;0;18;98;26;0,00;15,22;
842,40;817;0;20;98;26;0,00;15,22;
842,44;817;0;18;98;26;0,00;15,22;
842,46;817;0;18;98;26;0,00;15,22;
842,50;825;0;19;98;26;0,00;15,22;
842,53;825;0;20;98;26;0,00;15,22;
842,55;825;0;20;98;26;0,00;15,22;
842,59;825;0;18;98;26;0,00;15,22;
842,62;826;0;19;98;26;0,00;15,22;
842,66;826;0;18;98;26;0,00;15,22;
842,68;826;0;18;98;26;0,00;15,22;
842,71;826;0;19;98;26;0,00;15,22;
842,74;826;0;20;98;26;0,00;15,22;
842,77;826;0;20;98;26;0,00;15,22;
842,81;826;0;18;98;26;0,00;15,22;
842,83;826;0;19;98;26;0,00;15,22;
842,89;826;0;18;98;26;0,00;15,22;
842,90;826;0;18;98;26;0,00;15,22;
842,93;825;0;19;98;26;0,00;15,22;
842,96;825;0;18;98;26;0,00;15,22;
843,00;825;0;19;98;26;0,00;15,22;
843,02;825;0;18;98;26;0,00;15,22;
843,05;826;0;20;96;26;0,00;15,22;
843,09;826;0;18;98;26;0,00;15,22;
843,11;826;0;17;98;26;0,00;15,22;
843,15;826;0;18;98;26;0,00;15,22;
843,18;826;0;20;98;26;0,00;15,22;
843,21;818;0;19;98;26;0,00;15,22;
843,24;818;0;18;98;26;0,00;15,22;
843,27;818;0;19;98;26;0,00;15,22;
843,31;818;0;18;98;26;0,00;15,22;
843,34;818;0;19;98;26;0,00;15,22;
843,37;812;0;20;98;26;0,00;15,22;
843,40;812;0;19;98;26;0,00;15,22;
843,43;812;0;19;98;26;0,00;15,14;
843,46;812;0;19;98;26;0,00;15,14;
843,49;812;0;19;98;26;0,00;15,06;
843,54;718;0;22;98;26;0,00;15,06;
843,56;718;0;20;98;26;0,00;15,06;
843,58;718;0;22;98;26;0,00;15,14;
843,62;718;0;22;98;26;0,00;15,29;
843,65;718;0;22;98;26;0,00;15,29;
843,68;718;0;23;98;26;0,00;15,14;
843,71;640;0;23;98;26;0,00;15,22;
843,76;640;0;23;98;26;0,00;15,22;
843,78;640;0;24;98;26;0,00;15,29;
843,81;640;0;25;98;26;0,00;15,29;
843,84;640;0;23;98;26;0,00;15,29;
843,86;640;0;22;98;26;0,00;15,29;
843,90;709;0;22;98;26;0,00;15,29;
843,93;709;0;22;96;26;0,00;15,29;
843,98;709;0;23;100;26;0,00;15,29;
844,00;709;0;24;98;26;0,00;15,29;
844,02;819;0;21;98;26;0,00;15,29;
844,05;819;0;20;98;26;0,00;15,29;
844,08;819;0;20;96;26;0,00;15,29;
844,12;819;0;19;98;26;0,00;15,29;
844,15;904;0;20;98;26;0,00;15,29;
844,20;904;0;18;98;26;0,00;15,29;
844,22;904;0;18;98;26;0,00;15,29;
844,24;904;0;18;98;26;0,00;15,29;
844,28;904;0;17;98;26;0,00;15,29;
844,30;936;0;17;98;26;0,00;15,29;
844,33;936;0;17;103;26;0,00;15,29;
844,37;936;0;18;96;26;0,00;15,29;
844,41;947;0;16;96;26;0,00;15,29;
844,44;947;0;16;98;26;0,00;15,29;
844,46;947;0;16;101;26;0,00;15,29;
844,49;947;0;16;96;26;0,00;15,29;
844,52;947;0;16;98;26;0,00;15,29;
844,55;939;0;16;98;26;0,00;15,29;
844,59;939;0;16;98;26;0,00;15,29;
844,63;939;0;16;98;26;0,00;15,29;
844,65;939;0;16;98;26;0,00;15,29;
844,68;908;0;17;98;26;0,00;15,29;
844,71;908;0;18;98;26;0,00;15,29;
844,75;908;0;18;98;26;0,00;15,29;
844,77;908;0;16;98;26;0,00;15,29;
844,80;874;0;16;96;26;0,00;15,29;
844,85;874;0;16;98;26;0,00;15,29;
844,87;874;0;16;98;26;0,00;15,29;
844,90;874;0;16;98;26;0,00;15,29;
844,93;874;0;18;98;26;0,00;15,29;
844,96;822;0;18;100;26;0,00;15,22;
844,99;822;0;17;98;26;0,00;15,22;
845,02;822;0;18;98;26;0,00;15,22;
845,08;822;0;17;96;26;0,00;15,22;
845,09;822;0;18;96;26;0,00;15,22;
845,12;789;0;19;98;26;0,00;15,22;
845,15;789;0;18;98;26;0,00;15,22;
845,18;789;0;17;98;26;0,00;15,22;
845,21;789;0;18;98;26;0,00;15,22;
845,24;789;0;18;96;26;0,00;15,22;
845,28;778;0;19;98;26;0,00;15,22;
845,31;778;0;20;98;26;0,00;15,22;
845,33;778;0;18;96;26;0,00;15,22;
845,37;778;0;18;98;26;0,00;15,22;
845,40;778;0;19;96;26;0,00;15,22;
845,43;779;0;21;96;26;0,00;15,22;
845,46;779;0;19;96;26;0,00;15,22;
845,50;779;0;21;98;26;0,00;15,22;
845,53;779;0;19;96;26;0,00;15,22;
845,55;779;0;19;96;26;0,00;15,22;
845,58;789;0;19;96;26;0,00;15,22;
845,61;789;0;20;96;26;0,00;15,22;
845,65;789;0;20;96;26;0,00;15,22;
845,68;789;0;19;96;26;0,00;15,22;
845,73;815;0;20;96;26;0,00;15,22;
845,75;815;0;18;96;26;0,00;15,22;
845,77;815;0;18;98;26;0,00;15,22;
845,81;815;0;18;96;26;0,00;15,22;
845,84;815;0;18;96;26;0,00;15,22;
845,87;839;0;20;98;26;0,00;15,22;
845,90;839;0;17;98;26;0,00;15,22;
845,94;839;0;20;96;26;0,00;15,22;
845,96;839;0;18;96;26;0,00;15,22;
845,99;850;0;17;96;26;0,00;15,22;
846,03;850;0;17;98;26;0,00;15,22;
846,06;850;0;17;98;26;0,00;15,22;
846,08;850;0;17;96;26;0,00;15,22;
846,11;848;0;17;96;26;0,00;15,22;
846,17;848;0;18;96;26;0,00;15,22;
846,18;848;0;19;96;26;0,00;15,22;
846,21;848;0;18;96;26;0,00;15,22;
846,24;848;0;17;96;26;0,00;15,22;
846,27;848;0;16;96;26;0,00;15,22;
846,30;836;0;17;98;26;0,00;15,22;
846,33;836;0;17;96;26;0,00;15,22;
846,38;836;0;18;96;26;0,00;15,22;
846,41;836;0;20;96;26;0,00;15,22;
846,43;821;0;18;98;26;0,00;15,22;
846,46;821;0;17;96;26;0,00;15,22;
846,49;821;0;17;96;26;0,00;15,22;
846,52;821;0;17;96;26;0,00;15,22;
846,56;818;0;18;96;26;0,00;15,22;
846,60;818;0;17;96;26;0,00;15,22;
846,63;818;0;20;96;26;0,00;15,22;
846,65;818;0;17;96;26;0,00;15,22;
846,68;818;0;18;96;26;0,00;15,22;
846,71;818;0;17;96;26;0,00;15,22;
846,74;820;0;19;96;26;0,00;15,22;
846,77;820;0;18;96;26;0,00;15,22;
846,81;820;0;19;96;26;0,00;15,22;
846,84;820;0;20;96;26;0,00;15,22;
846,86;828;0;18;96;26;0,00;15,22;
846,90;828;0;18;96;26;0,00;15,22;
846,93;828;0;17;96;26;0,00;15,22;
846,96;828;0;17;96;26;0,00;15,22;
846,99;831;0;17;96;26;0,00;15,22;
847,04;831;0;18;96;26;0,00;15,22;
847,06;831;0;19;96;26;0,00;15,22;
847,08;831;0;19;96;26;0,00;15,22;
847,12;831;0;18;96;26;0,00;15,22;
847,15;831;0;17;96;26;0,00;15,22;
847,18;816;0;18;96;26;0,00;15,22;
847,21;816;0;18;95;26;0,00;15,22;
847,26;816;0;20;96;26;0,00;15,22;
847,27;816;0;19;96;26;0,00;15,22;
847,31;822;0;18;96;26;0,00;15,22;
847,33;822;0;18;96;26;0,00;15,22;
847,36;822;0;17;96;26;0,00;15,22;
847,40;822;0;17;96;26;0,00;15,22;
847,43;843;0;19;96;26;0,00;15,22;
847,48;843;0;17;96;26;0,00;15,22;
847,50;843;0;19;96;26;0,00;15,22;
847,52;843;0;19;96;26;0,00;15,22;
847,55;843;0;18;96;26;0,00;15,22;
847,58;843;0;18;96;26;0,00;15,22;
847,61;830;0;18;96;26;0,00;15,22;
847,65;830;0;19;96;26;0,00;15,22;
847,70;830;0;18;96;26;0,00;15,22;
847,72;830;0;20;96;26;0,00;15,22;
847,74;806;0;21;96;26;0,00;15,22;
847,77;806;0;19;96;26;0,00;15,22;
847,80;806;0;18;96;26;0,00;15,22;
847,83;806;0;19;96;26;0,00;15,22;
847,86;824;0;19;96;26;0,00;15,22;
847,91;824;0;20;96;26;0,00;15,22;
847,93;824;0;21;96;26;0,00;15,22;
847,96;824;0;20;96;26;0,00;15,22;
847,99;824;0;20;96;26;0,00;15,22;
848,02;854;0;20;96;26;0,00;15,22;
848,06;854;0;19;96;26;0,00;15,22;
848,08;854;0;20;96;26;0,00;15,22;
848,12;854;0;20;96;26;0,00;15,22;
848,15;854;0;20;96;26;0,00;15,22;
848,18;873;0;20;96;26;0,00;15,22;
848,21;873;0;20;96;26;0,00;15,22;
848,25;873;0;22;96;26;0,00;15,22;
848,27;873;0;23;96;26;0,00;15,22;
848,30;919;0;21;96;26;0,00;15,29;
848,35;919;0;22;96;26;0,00;15,29;
848,37;919;0;22;96;26;0,00;15,29;
848,40;919;0;21;96;26;0,00;15,29;
848,43;1002;0;22;96;26;0,00;15,29;
848,46;1002;0;21;96;26;0,00;15,29;
848,49;1002;0;22;96;26;0,00;15,29;
848,52;1095;0;23;96;26;0,00;15,29;
848,56;1095;0;24;96;26;0,00;15,29;
848,59;1095;0;23;96;26;0,00;15,29;
848,61;1194;0;22;96;26;0,00;15,29;
848,65;1194;0;24;96;26;0,00;15,29;
848,68;1194;0;24;96;26;0,00;15,29;
848,71;1194;0;20;96;26;0,00;15,29;
848,74;1293;0;22;96;26;0,00;15,29;
848,78;1293;0;20;96;26;0,00;15,29;
848,81;1390;0;20;96;26;0,00;15,29;
848,84;1390;0;20;96;26;0,00;15,29;
848,87;1390;0;20;96;26;0,00;15,29;
848,90;1479;0;19;96;26;0,00;15,29;
848,93;1479;0;20;96;26;0,00;15,29;
848,96;1559;0;17;96;26;0,00;15,29;
849,01;1559;0;16;96;26;0,00;15,29;
849,03;1559;0;18;96;26;0,00;15,29;
849,05;1631;0;16;95;26;0,00;15,29;
849,08;1631;0;15;98;26;0,00;15,22;
849,11;1692;0;15;96;26;0,00;15,22;
849,15;1692;0;14;96;26;0,00;15,22;
849,18;1730;0;14;96;26;0,00;15,22;
849,23;1730;0;13;96;26;0,00;15,22;
849,25;1744;0;12;95;26;0,00;15,22;
849,27;1744;0;13;96;26;0,00;15,22;
849,30;1744;0;13;95;26;0,00;15,22;
849,33;1750;0;14;96;26;0,00;15,22;
849,36;1750;0;13;96;26;0,00;15,22;
849,40;1751;0;11;96;26;0,00;15,22;
849,44;1751;0;11;96;26;0,00;15,22;
849,46;1754;0;11;96;26;0,00;15,22;
849,49;1754;0;12;96;26;0,00;15,22;
849,52;1726;0;12;96;26;0,00;15,22;
849,56;1726;0;10;96;26;0,00;15,22;
849,58;1702;0;11;96;26;0,00;15,22;
849,61;1702;0;10;96;26;0,00;15,22;
849,67;1702;0;11;96;26;0,00;15,22;
849,68;1670;0;10;96;26;0,00;15,22;
849,71;1670;0;10;96;26;0,00;15,22;
849,74;1627;0;12;96;26;0,00;15,22;
849,77;1627;0;11;96;26;0,00;15,22;
849,80;1627;0;12;96;26;0,00;15,22;
849,83;1566;0;12;96;26;0,00;15,22;
849,89;1566;0;13;96;26;0,00;15,22;
849,91;1532;0;12;96;26;0,00;15,22;
849,93;1532;0;12;95;26;0,00;15,22;
849,96;1486;0;11;95;26;0,00;15,22;
850,00;1486;0;12;96;26;0,00;15,22;
850,02;1486;0;14;96;26;0,00;15,22;
850,05;1453;0;13;96;26;0,00;15,22;
850,09;1453;0;14;96;26;0,00;15,22;
850,11;1453;0;12;96;26;0,00;15,22;
850,15;1439;0;13;96;26;0,00;15,22;
850,18;1439;0;14;96;26;0,00;15,22;
850,21;1439;0;13;95;26;0,00;15,22;
850,24;1435;0;13;96;26;0,00;15,22;
850,27;1435;0;13;96;26;0,00;15,22;
850,31;1402;0;14;96;26;0,00;15,22;
850,34;1402;0;15;96;26;0,00;15,22;
850,36;1402;0;13;98;26;0,00;15,22;
850,40;1394;0;16;96;26;0,00;15,22;
850,43;1394;0;13;96;26;0,00;15,22;
850,46;1394;0;15;96;26;0,00;15,22;
850,49;1387;0;15;96;26;0,00;15,22;
850,54;1387;0;14;96;26;0,00;15,22;
850,56;1387;0;15;96;26;0,00;15,22;
850,58;1383;0;14;96;26;0,00;15,22;
850,62;1383;0;16;96;26;0,00;15,22;
850,65;1378;0;13;96;26;0,00;15,22;
850,68;1378;0;15;96;26;0,00;15,22;
850,71;1378;0;15;96;26;0,00;15,22;
850,76;1368;0;14;96;26;0,00;15,22;
850,78;1368;0;15;96;26;0,00;15,22;
850,80;1368;0;14;96;26;0,00;15,22;
850,84;1358;0;16;96;26;0,00;15,22;
850,86;1358;0;14;96;26;0,00;15,22;
850,90;1358;0;15;96;26;0,00;15,22;
850,93;1345;0;16;96;26;0,00;15,22;
850,98;1345;0;15;96;26;0,00;15,22;
850,99;1345;0;16;96;26;0,00;15,22;
851,02;1345;0;14;96;26;0,00;15,22;
851,05;1345;0;16;96;26;0,00;15,22;
851,08;1345;0;15;96;26;0,00;15,22;
851,11;1342;0;15;96;26;0,00;15,22;
851,15;1342;0;16;95;26;0,00;15,22;
851,20;1353;0;15;96;26;0,00;15,22;
851,22;1353;0;15;96;26;0,00;15,22;
851,25;1353;0;14;96;26;0,00;15,22;
851,27;1364;0;14;96;26;0,00;15,22;
851,31;1364;0;14;96;26;0,00;15,22;
851,33;1364;0;12;96;26;0,00;15,22;
851,36;1369;0;12;96;26;0,00;15,22;
851,41;1369;0;12;96;26;0,00;15,22;
851,43;1369;0;13;96;26;0,00;15,22;
851,46;1362;0;12;92;26;0,00;15,22;
851,49;1362;0;11;96;26;0,00;15,22;
851,52;1362;0;12;98;26;0,00;15,22;
851,55;1335;0;10;96;26;0,00;15,22;
851,58;1335;0;11;96;26;0,00;15,22;
851,62;1335;0;11;96;26;0,00;15,22;
851,65;1292;0;10;96;26;0,00;15,22;
851,68;1292;0;12;96;26;0,00;15,22;
851,71;1292;0;11;96;26;0,00;15,22;
851,74;1240;0;10;96;26;0,00;15,22;
851,77;1240;0;11;96;26;0,00;15,22;
851,81;1175;0;12;96;26;0,00;15,22;
851,86;1175;0;13;96;26;0,00;15,22;
851,87;1175;0;15;96;26;0,00;15,22;
851,90;1175;0;13;96;26;0,00;15,22;
851,93;1175;0;13;95;26;0,00;15,22;
851,96;1091;0;15;96;26;0,00;15,22;
852,00;1091;0;15;96;26;0,00;15,22;
852,02;1091;0;14;95;26;0,00;15,22;
852,08;1038;0;16;96;26;0,00;15,22;
852,10;1038;0;16;96;26;0,00;15,22;
852,11;1038;0;16;96;26;0,00;15,22;
852,15;1038;0;16;96;26;0,00;15,22;
852,18;1028;0;16;92;26;0,00;15,22;
852,21;1028;0;16;96;26;0,00;15,22;
852,25;1028;0;16;96;26;0,00;15,22;
852,29;1036;0;17;96;26;0,00;15,22;
852,32;1036;0;16;96;26;0,00;15,22;
852,34;1036;0;16;95;26;0,00;15,22;
852,37;1036;0;15;96;26;0,00;15,22;
852,40;1034;0;16;95;26;0,00;15,22;
852,43;1034;0;16;96;26;0,00;15,22;
852,46;1034;0;16;96;26;0,00;15,22;
852,50;1034;0;16;96;26;0,00;15,22;
852,53;1047;0;16;96;26;0,00;15,22;
852,56;1047;0;16;96;26;0,00;15,22;
852,59;1047;0;16;96;26;0,00;15,22;
852,61;1047;0;15;96;26;0,00;15,22;
852,65;1055;0;15;96;26;0,00;15,22;
852,68;1055;0;16;96;26;0,00;15,22;
852,72;1055;0;16;96;26;0,00;15,22;
852,74;1042;0;15;96;26;0,00;15,22;
852,77;1042;0;16;96;26;0,00;15,22;
852,81;1042;0;16;96;26;0,00;15,22;
852,83;1042;0;16;96;26;0,00;15,22;
852,86;1004;0;16;96;26;0,00;15,22;
852,90;1004;0;16;96;26;0,00;15,22;
852,94;1004;0;17;96;26;0,00;15,22;
852,96;1004;0;16;96;26;0,00;15,22;
853,00;988;0;16;96;26;0,00;15,22;
853,02;988;0;16;96;26;0,00;15,22;
853,05;988;0;16;96;26;0,00;15,22;
853,08;988;0;16;96;26;0,00;15,22;
853,11;963;0;16;96;26;0,00;15,22;
853,16;963;0;17;96;26;0,00;15,22;
853,18;963;0;18;96;26;0,00;15,22;
853,21;963;0;16;96;26;0,00;15,22;
853,24;902;0;16;96;26;0,00;15,22;
853,27;902;0;17;96;26;0,00;15,22;
853,31;902;0;16;95;26;0,00;15,22;
853,33;902;0;18;96;26;0,00;15,22;
853,39;872;0;17;95;26;0,00;15,22;
853,41;872;0;17;96;26;0,00;15,22;
853,43;872;0;18;96;26;0,00;15,22;
853,46;872;0;18;96;26;0,00;15,22;
853,49;872;0;20;96;26;0,00;15,22;
853,52;855;0;20;96;26;0,00;15,22;
853,56;855;0;18;96;26;0,00;15,22;
853,61;855;0;18;95;26;0,00;15,22;
853,63;855;0;17;96;26;0,00;15,22;
853,65;855;0;17;96;26;0,00;15,22;
853,68;855;0;18;96;26;0,00;15,22;
853,71;855;0;18;96;26;0,00;15,22;
853,74;855;0;19;96;26;0,00;15,22;
853,77;855;0;18;95;26;0,00;15,22;
853,82;840;0;21;95;26;0,00;15,22;
853,84;840;0;18;96;26;0,00;15,22;
853,86;840;0;18;95;26;0,00;15,22;
853,90;840;0;18;95;26;0,00;15,22;
853,93;840;0;18;96;26;0,00;15,22;
853,96;839;0;19;95;26;0,00;15,22;
853,99;839;0;18;95;26;0,00;15,22;
854,05;839;0;18;95;26;0,00;15,22;
854,06;839;0;19;95;26;0,00;15,22;
854,08;850;0;18;95;26;0,00;15,22;
854,12;850;0;17;96;26;0,00;15,22;
854,15;850;0;18;95;26;0,00;15,22;
854,18;850;0;17;96;26;0,00;15,22;
854,21;854;0;18;95;26;0,00;15,22;
854,26;854;0;19;95;26;0,00;15,22;
854,27;854;0;18;95;26;0,00;15,22;
854,31;854;0;20;96;26;0,00;15,22;
854,34;854;0;18;95;26;0,00;15,22;
854,36;862;0;18;95;26;0,00;15,22;
854,40;862;0;17;95;26;0,00;15,22;
854,43;862;0;19;95;26;0,00;15,22;
854,48;862;0;17;95;26;0,00;15,22;
854,49;862;0;17;95;26;0,00;15,22;
854,52;871;0;18;95;26;0,00;15,22;
854,55;871;0;18;95;26;0,00;15,22;
854,59;871;0;18;95;26;0,00;15,22;
854,61;871;0;19;95;26;0,00;15,22;
854,65;874;0;17;95;26;0,00;15,22;
854,70;874;0;19;95;26;0,00;15,22;
854,72;874;0;17;95;26;0,00;15,22;
854,74;874;0;17;95;26;0,00;15,22;
854,78;874;0;17;95;26;0,00;15,22;
854,81;858;0;17;95;26;0,00;15,22;
854,83;858;0;18;95;26;0,00;15,22;
854,86;858;0;17;95;26;0,00;15,22;
854,91;858;0;18;95;26;0,00;15,22;
854,93;832;0;20;95;26;0,00;15,22;
854,96;832;0;18;95;26;0,00;15,22;
854,99;832;0;17;95;26;0,00;15,22;
855,02;832;0;18;95;26;0,00;15,22;
855,05;832;0;18;95;26;0,00;15,22;
855,08;816;0;18;95;26;0,00;15,22;
855,13;816;0;20;95;26;0,00;15,22;
855,15;816;0;20;95;26;0,00;15,22;
855,18;816;0;18;95;26;0,00;15,22;
855,21;810;0;18;95;26;0,00;15,22;
855,25;810;0;18;95;26;0,00;15,22;
855,27;810;0;19;95;26;0,00;15,22;
855,30;810;0;18;95;26;0,00;15,22;
855,36;810;0;20;95;26;0,00;15,22;
855,37;816;0;18;95;26;0,00;15,22;
855,40;816;0;18;95;26;0,00;15,22;
855,43;816;0;18;95;26;0,00;15,37;
855,46;816;0;18;95;26;0,00;15,37;
855,49;816;0;18;95;26;0,00;15,37;
855,52;837;0;17;95;26;0,00;15,37;
855,56;837;0;19;95;26;0,00;15,37;
855,58;837;0;19;95;26;0,00;15,45;
855,61;837;0;19;95;26;0,00;15,45;
855,65;875;0;17;95;26;0,00;15,45;
855,68;875;0;18;95;26;0,00;15,45;
855,71;875;0;17;95;26;0,00;15,45;
855,74;875;0;18;95;26;0,00;15,45;
855,78;907;0;17;95;26;0,00;15,45;
855,81;907;0;17;95;26;0,00;15,45;
855,84;907;0;16;95;26;0,00;15,45;
855,87;907;0;16;95;26;0,00;15,45;
855,90;907;0;17;95;26;0,00;15,45;
855,93;897;0;17;95;26;0,00;15,45;
855,96;897;0;17;95;26;0,00;15,45;
856,01;897;0;16;95;26;0,00;15,45;
856,03;897;0;18;95;26;0,00;15,45;
856,05;884;0;19;95;26;0,00;15,45;
856,08;884;0;17;95;26;0,00;15,45;
856,11;884;0;16;95;26;0,00;15,45;
856,15;884;0;16;95;26;0,00;15,45;
856,18;869;0;17;95;26;0,00;15,45;
856,23;869;0;17;95;26;0,00;15,45;
856,25;869;0;17;95;26;0,00;15,45;
856,27;869;0;17;95;26;0,00;15,45;
856,31;869;0;18;95;26;0,00;15,45;
856,33;841;0;18;95;26;0,00;15,45;
856,36;841;0;17;95;26;0,00;15,45;
856,39;841;0;18;95;26;0,00;15,45;
856,44;841;0;16;95;26;0,00;15,45;
856,46;841;0;18;95;26;0,00;15,37;
856,49;818;0;18;95;26;0,00;15,37;
856,52;818;0;19;95;26;0,00;15,37;
856,55;818;0;18;95;26;0,00;15,37;
856,59;818;0;18;95;26;0,00;15,37;
856,61;790;0;18;95;26;0,00;15,37;
856,67;790;0;19;95;26;0,00;15,37;
856,70;790;0;19;95;26;0,00;15,37;
856,72;790;0;19;95;26;0,00;15,37;
856,74;790;0;19;95;26;0,00;15,37;
856,77;819;0;18;95;26;0,00;15,37;
856,80;819;0;18;98;26;0,00;15,37;
856,83;819;0;18;95;26;0,00;15,37;
856,88;819;0;17;95;26;0,00;15,37;
856,90;819;0;17;95;26;0,00;15,37;
856,93;867;0;17;96;26;0,00;15,37;
856,96;867;0;19;95;26;0,00;15,37;
856,99;867;0;18;95;26;0,00;15,37;
857,02;867;0;19;95;26;0,00;15,37;
857,05;882;0;17;95;26;0,00;15,37;
857,09;882;0;17;95;26;0,00;15,37;
857,12;882;0;17;95;26;0,00;15,37;
857,15;882;0;17;95;26;0,00;15,37;
857,18;882;0;16;95;26;0,00;15,37;
857,21;875;0;16;95;26;0,00;15,37;
857,24;875;0;16;95;26;0,00;15,37;
857,27;875;0;17;95;26;0,00;15,37;
857,32;875;0;17;95;26;0,00;15,37;
857,34;863;0;17;95;26;0,00;15,37;
857,36;863;0;18;95;26;0,00;15,37;
857,40;863;0;17;95;26;0,00;15,37;
857,43;863;0;17;95;26;0,00;15,29;
857,46;863;0;16;95;26;0,00;15,29;
857,49;861;0;18;91;26;0,00;15,29;
857,54;861;0;17;95;26;0,00;15,29;
857,56;861;0;17;95;26;0,00;15,29;
857,58;861;0;17;95;26;0,00;15,29;
857,62;860;0;19;95;26;0,00;15,29;
857,65;860;0;17;95;26;0,00;15,29;
857,68;860;0;18;95;26;0,00;15,29;
857,71;860;0;17;95;26;0,00;15,29;
857,76;851;0;16;95;26;0,00;15,29;
857,77;851;0;17;95;26;0,00;15,29;
857,81;851;0;17;95;26;0,00;15,29;
857,83;851;0;17;95;26;0,00;15,29;
857,86;851;0;17;95;26;0,00;15,29;
857,90;835;0;18;95;26;0,00;15,29;
857,93;835;0;17;95;26;0,00;15,29;
857,98;835;0;19;95;26;0,00;15,29;
857,99;835;0;17;95;26;0,00;15,29;
858,02;835;0;17;95;26;0,00;15,29;
858,05;841;0;16;95;26;0,00;15,29;
858,08;841;0;18;95;26;0,00;15,29;
858,11;841;0;17;95;26;0,00;15,29;
858,15;841;0;17;92;26;0,00;15,29;
858,20;851;0;17;95;26;0,00;15,29;
858,22;851;0;18;95;26;0,00;15,29;
858,25;851;0;17;95;26;0,00;15,29;
858,27;851;0;17;95;26;0,00;15,29;
858,30;851;0;17;95;26;0,00;15,29;
858,33;848;0;17;95;26;0,00;15,29;
858,36;848;0;16;95;26;0,00;15,29;
858,40;848;0;17;95;26;0,00;15,29;
858,43;848;0;18;95;26;0,00;15,29;
858,46;846;0;18;95;26;0,00;15,29;
858,49;846;0;17;95;26;0,00;15,29;
858,52;846;0;17;95;26;0,00;15,29;
858,55;846;0;16;95;26;0,00;15,29;
858,58;842;0;17;95;26;0,00;15,29;
858,63;842;0;17;95;26;0,00;15,29;
858,65;842;0;18;95;26;0,00;15,29;
858,68;842;0;18;95;26;0,00;15,29;
858,71;842;0;18;95;26;0,00;15,29;
858,74;832;0;17;95;26;0,00;15,22;
858,77;832;0;17;95;26;0,00;15,22;
858,80;832;0;18;95;26;0,00;15,22;
858,86;832;0;17;95;26;0,00;15,22;
858,87;832;0;18;92;26;0,00;15,22;
858,90;822;0;19;95;26;0,00;15,22;
858,93;822;0;20;95;26;0,00;15,22;
858,96;822;0;20;95;26;0,00;15,22;
858,99;822;0;17;95;26;0,00;15,22;
859,02;836;0;18;95;26;0,00;15,22;
859,08;836;0;17;95;26;0,00;15,22;
859,10;836;0;18;95;26;0,00;15,29;
859,11;836;0;18;95;26;0,00;15,29;
859,15;836;0;18;95;26;0,00;15,29;
859,18;840;0;20;95;26;0,00;15,29;
859,21;840;0;17;95;26;0,00;15,29;
859,24;840;0;18;95;26;0,00;15,29;
859,29;840;0;17;95;26;0,00;15,29;
859,31;840;0;17;95;26;0,00;15,29;
859,33;847;0;17;95;26;0,00;15,29;
859,37;847;0;17;95;26;0,00;15,29;
859,40;847;0;19;95;26;0,00;15,29;
859,43;847;0;18;95;26;0,00;15,29;
859,46;852;0;17;95;26;0,00;15,29;
859,51;852;0;19;95;26;0,00;15,29;
859,53;852;0;16;92;26;0,00;15,29;
859,55;852;0;16;95;26;0,00;15,29;
859,58;852;0;16;95;26;0,00;15,29;
859,61;851;0;19;95;26;0,00;15,29;
859,67;851;0;16;95;26;0,00;15,29;
859,69;851;0;17;95;26;0,00;15,29;
859,73;855;0;17;95;26;0,00;15,29;
859,85;855;0;17;95;26;0,00;15,29;
859,87;855;0;17;95;26;0,00;15,29;
859,90;863;0;18;95;26;0,00;15,29;
859,95;863;0;16;95;26;0,00;15,29;
859,96;863;0;17;95;26;0,00;15,29;
859,99;863;0;17;92;26;0,00;15,29;
860,02;857;0;18;95;26;0,00;15,29;
860,06;857;0;17;95;26;0,00;15,29;
860,08;857;0;17;95;26;0,00;15,29;
860,11;857;0;17;95;26;0,00;15,29;
860,17;857;0;17;92;26;0,00;15,29;
860,18;840;0;17;95;26;0,00;15,29;
860,21;840;0;18;95;26;0,00;15,29;
860,24;840;0;18;95;26;0,00;15,29;
860,27;840;0;19;95;26;0,00;15,29;
860,31;858;0;18;95;26;0,00;15,29;
860,33;858;0;19;95;26;0,00;15,29;
860,37;858;0;17;95;26;0,00;15,29;
860,39;858;0;16;95;26;0,00;15,29;
860,42;858;0;16;95;26;0,00;15,29;
860,46;872;0;16;95;26;0,00;15,29;
860,49;872;0;16;95;26;0,00;15,29;
860,52;872;0;16;95;26;0,00;15,29;
